Name,Reason,count
"Hays, KS: Hays Regional",Weather,2
"Hilo, HI: Hilo International",Carrier,3
"Hilton Head, SC: Hilton Head Airport",Weather,2
"Hobbs, NM: Lea County Regional",Weather,1
"Honolulu, HI: Daniel K Inouye International",Carrier,17
"Houston, TX: George Bush Intercontinental/Houston",Weather,154
"Houston, TX: William P Hobby",Carrier,112
"Huntsville, AL: Huntsville International-Carl T Jones Field",Weather,11
"Idaho Falls, ID: Idaho Falls Regional",Carrier,1
"Idaho Falls, ID: Idaho Falls Regional",Weather,1
"Indianapolis, IN: Indianapolis International",Weather,35
"Islip, NY: Long Island MacArthur",Carrier,9
"Ithaca/Cortland, NY: Ithaca Tompkins Regional",Weather,1
"Jackson, WY: Jackson Hole",Weather,3
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Carrier,14
"Jacksonville, FL: Jacksonville International",Weather,23
"Jacksonville/Camp Lejeune, NC: Albert J Ellis","National Air System",2
"Jacksonville/Camp Lejeune, NC: Albert J Ellis",Weather,2
"Jamestown, ND: Jamestown Regional",Weather,3
"Joplin, MO: Joplin Regional",Weather,5
"Juneau, AK: Juneau International",Weather,1
"Kahului, HI: Kahului Airport",Carrier,14
"Kalamazoo, MI: Kalamazoo/Battle Creek International","National Air System",2
"Kalispell, MT: Glacier Park International","National Air System",1
"Kalispell, MT: Glacier Park International",Weather,1
"Kansas City, MO: Kansas City International",Weather,45
"Kearney, NE: Kearney Regional",Carrier,1
"Kearney, NE: Kearney Regional","National Air System",1
"Kearney, NE: Kearney Regional",Weather,1
"Ketchikan, AK: Ketchikan International",Carrier,2
"Key West, FL: Key West International",Weather,2
"Killeen, TX: Robert Gray AAF",Weather,13
"King Salmon, AK: King Salmon Airport",Carrier,1
"Knoxville, TN: McGhee Tyson",Weather,20
"Kodiak, AK: Kodiak Airport",Weather,2
"Kona, HI: Ellison Onizuka Kona International at Keahole",Carrier,5
"Kotzebue, AK: Ralph Wien Memorial",Weather,3
"La Crosse, WI: La Crosse Regional",Weather,6
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Weather,12
"Lake Charles, LA: Lake Charles Regional",Weather,5
"Lansing, MI: Capital Region International","National Air System",4
"Laramie, WY: Laramie Regional",Weather,3
"Laredo, TX: Laredo International",Weather,6
"Las Vegas, NV: McCarran International",Carrier,112
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Weather,7
"Lewisburg, WV: Greenbrier Valley","National Air System",1
"Lexington, KY: Blue Grass",Weather,9
"Liberal, KS: Liberal Mid-America Regional","National Air System",1
"Liberal, KS: Liberal Mid-America Regional",Weather,1
"Lihue, HI: Lihue Airport",Carrier,8
"Lincoln, NE: Lincoln Airport",Carrier,1
"Lincoln, NE: Lincoln Airport","National Air System",1
"Lincoln, NE: Lincoln Airport",Weather,1
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",Weather,19
"Long Beach, CA: Long Beach Airport",Carrier,8
"Longview, TX: East Texas Regional",Weather,6
"Los Angeles, CA: Los Angeles International",Carrier,219
"Louisville, KY: Louisville Muhammad Ali International","National Air System",18
"Lubbock, TX: Lubbock Preston Smith International",Weather,18
"Madison, WI: Dane County Regional-Truax Field",Weather,13
"Mammoth Lakes, CA: Mammoth Lakes Airport",Weather,3
"Manchester, NH: Manchester-Boston Regional",Carrier,4
"Manhattan/Ft. Riley, KS: Manhattan Regional",Weather,8
"Martha's Vineyard, MA: Martha's Vineyard Airport",Carrier,1
"Martha's Vineyard, MA: Martha's Vineyard Airport",Weather,1
"Medford, OR: Rogue Valley International - Medford","National Air System",1
"Medford, OR: Rogue Valley International - Medford",Weather,1
"Melbourne, FL: Melbourne International",Carrier,1
"Melbourne, FL: Melbourne International",Weather,1
"Memphis, TN: Memphis International",Weather,27
"Meridian, MS: Key Field",Weather,3
"Miami, FL: Miami International",Weather,80
"Midland/Odessa, TX: Midland International Air and Space Port",Weather,13
"Milwaukee, WI: General Mitchell International",Weather,17
"Minneapolis, MN: Minneapolis-St Paul International",Weather,49
"Minot, ND: Minot International","National Air System",2
"Minot, ND: Minot International",Weather,2
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Carrier,12
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Weather,12
"Missoula, MT: Missoula International",Carrier,1
"Missoula, MT: Missoula International",Weather,1
"Moab, UT: Canyonlands Field","National Air System",2
"Mobile, AL: Mobile Downtown",Carrier,1
"Mobile, AL: Mobile Downtown",Weather,1
"Mobile, AL: Mobile Regional",Weather,11
"Moline, IL: Quad City International",Weather,6
"Monroe, LA: Monroe Regional","National Air System",3
"Monroe, LA: Monroe Regional",Weather,3
"Monterey, CA: Monterey Regional",Carrier,3
"Monterey, CA: Monterey Regional",Weather,3
"Montgomery, AL: Montgomery Regional",Carrier,5
"Montrose/Delta, CO: Montrose Regional",Carrier,6
"Mosinee, WI: Central Wisconsin",Weather,4
"Myrtle Beach, SC: Myrtle Beach International",Weather,10
"Nantucket, MA: Nantucket Memorial",Weather,6
"Nashville, TN: Nashville International",Weather,41
"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",Weather,3
"New Haven, CT: Tweed New Haven",Weather,7
"New Orleans, LA: Louis Armstrong New Orleans International",Weather,45
"New York, NY: John F. Kennedy International",Weather,66
"New York, NY: LaGuardia","National Air System",256
"Newark, NJ: Newark Liberty International","National Air System",257
"Newburgh/Poughkeepsie, NY: New York Stewart International",Carrier,2
"Newport News/Williamsburg, VA: Newport News/Williamsburg International",Weather,3
"Niagara Falls, NY: Niagara Falls International",Carrier,1
"Niagara Falls, NY: Niagara Falls International",Weather,1
"Nome, AK: Nome Airport",Weather,5
"Norfolk, VA: Norfolk International","National Air System",35
"North Platte, NE: North Platte Regional Airport Lee Bird Field",Weather,3
"Oakland, CA: Metropolitan Oakland International",Carrier,71
"Ogdensburg, NY: Ogdensburg International",Carrier,2
"Oklahoma City, OK: Will Rogers World",Weather,33
"Omaha, NE: Eppley Airfield",Weather,19
"Ontario, CA: Ontario International",Carrier,14
"Orlando, FL: Orlando International",Weather,98
"Owensboro, KY: Owensboro Daviess County Regional",Weather,1
"Paducah, KY: Barkley Regional",Weather,7
"Palm Springs, CA: Palm Springs International",Carrier,5
"Panama City, FL: Northwest Florida Beaches International",Carrier,5
"Pasco/Kennewick/Richland, WA: Tri Cities",Weather,3
"Pensacola, FL: Pensacola International",Weather,16
"Peoria, IL: General Downing - Peoria International",Weather,7
"Philadelphia, PA: Philadelphia International",Weather,126
"Phoenix, AZ: Phoenix - Mesa Gateway",Carrier,2
"Phoenix, AZ: Phoenix Sky Harbor International",Carrier,176
"Pierre, SD: Pierre Regional",Weather,3
"Pittsburgh, PA: Pittsburgh International",Weather,31
"Ponce, PR: Mercedita",Weather,1
"Portland, ME: Portland International Jetport","National Air System",23
"Portland, OR: Portland International",Carrier,23
"Prescott, AZ: Prescott Regional Ernest A Love Field",Weather,1
"Providence, RI: Theodore Francis Green State",Carrier,11
"Provo, UT: Provo Municipal",Carrier,2
"Pueblo, CO: Pueblo Memorial",Weather,5
"Punta Gorda, FL: Punta Gorda Airport",Weather,3
"Raleigh/Durham, NC: Raleigh-Durham International","National Air System",43
"Rapid City, SD: Rapid City Regional",Weather,6
"Redding, CA: Redding Municipal",Weather,2
"Reno, NV: Reno/Tahoe International",Carrier,14
